target,col1453,col1456,col1457,col1458,col1459,col1460,col1461,col1462,col1464,col1465,col1466,col1467,col1468,col1469,col1470,col1491,col1492,col1502,col1510,col2167,col2168,col2169,col2170,col2171,col2172,col2173,col2174,col2175,col2176,col2177,col2178,col2179,col2180,col2181,col2182,col2183,col2184,col2185,col2186,col2187,col2188,col2189,col2190,col2220,col2222,col2244,col2292,col2294,col2316,col2317,col2318,col2340,col2341,col2342,col2364,col2365,col2366,col2388,col2389,col2390,col2460,col2461,col2462,col2663
0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6564363.2,2198121.06666667,524527.9,5.0,5.0,192567.0,192567.0,192567.0,5794341.03,5794341.03,5794341.03,1.0,1.0,1.0,30.09,30.09,30.09,1.7,1.7,1.7,0.2569190620677391
0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,13693099.02,2748679.804,0.0,4.0,3.333333333333333,225454.0,219829.0,221704.0,13981124.4,13953348.06,13971865.62,2.0,2.0,2.0,63.51,61.89,62.97,3.79,1.5,3.02666666666667,0.2672212943213475
0,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12417006.76,4162335.58666667,0.0,21.0,21.0,223152.0,223152.0,223152.0,11139747.84,11139747.84,11139747.84,2.0,2.0,2.0,49.92,49.92,49.92,1.34,1.34,1.34,0.2572174233749946
0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10785110.3,3608370.1,9167343.74,5.0,5.0,287104.0,287104.0,287104.0,10795110.4,10795110.4,10795110.4,2.0,2.0,2.0,37.6,37.6,37.6,0.0,0.0,0.0,0.2562613816564786
0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9649462.8,3226487.6,0.0,14.0,14.0,263345.0,263345.0,263345.0,9756932.25,9756932.25,9756932.25,1.0,1.0,1.0,37.05,37.05,37.05,2.2,2.2,2.2,0.2573476190144638
0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9929930.05,3322310.01666667,0.0,3.0,3.0,166488.0,166488.0,166488.0,9040298.4,9040298.4,9040298.4,2.0,2.0,2.0,54.3,54.3,54.3,2.1,2.1,2.1,0.2567183659523679
0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9165560.51,2303890.1275,0.0,4.0,4.0,306847.0,299879.0,302201.66666667,8834435.34,8521141.19,8730003.95666667,1.0,1.0,1.0,29.46,27.77,28.89666666666667,1.87,1.38,1.54333333333333,0.2660206002085261
0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4472049.15,1516349.71666667,0.0,16.0,16.0,178603.0,178603.0,178603.0,4613315.49,4613315.49,4613315.49,1.0,1.0,1.0,25.83,25.83,25.83,0.0,0.0,0.0,0.263619190082173
0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4780393.36,2395446.68,0.0,8.0,8.0,161001.0,161001.0,161001.0,5116611.78,5116611.78,5116611.78,1.0,1.0,1.0,31.78,31.78,31.78,1.37,1.37,1.37,0.2562613816564786
0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5546617.13,1858872.37666667,4714000.0,15.0,15.0,213017.0,213017.0,213017.0,4624599.07,4624599.07,4624599.07,1.0,1.0,1.0,21.71,21.71,21.71,1.39,1.39,1.39,0.2570165748042274
